model,concurrency,Batchsize,Input,Output
7B,1,1,1,1024
7B,8,8,1,1024
7B,32,32,1,1024
7B,64,64,1,1024
7B,8,8,256,128
7B,8,8,256,512
7B,8,8,256,1024
7B,8,8,512,128
7B,8,8,512,512
7B,8,8,512,1024
7B,8,8,1024,1024
7B,16,16,256,128
7B,16,16,256,512
7B,16,16,256,1024
7B,16,16,512,128
7B,16,16,512,512
7B,16,16,512,1024
7B,16,16,1024,1024
7B,32,32,256,128
7B,32,32,256,512
7B,32,32,256,1024
7B,32,32,512,128
7B,32,32,512,512
7B,32,32,512,1024
7B,32,32,1024,1024
7B,64,64,256,128
7B,64,64,256,512
7B,64,64,256,1024
7B,64,64,512,128
7B,64,64,512,512
7B,64,64,512,1024
7B,64,64,1024,1024
65B,8,8,256,128
65B,8,8,256,512
65B,8,8,256,1024
65B,8,8,512,128
65B,8,8,512,512
65B,8,8,512,1024
65B,8,8,1024,1024
65B,16,16,256,128
65B,16,16,256,512
65B,16,16,256,1024
65B,16,16,512,128
65B,16,16,512,512
65B,16,16,512,1024
65B,16,16,1024,1024
65B,32,32,256,128
65B,32,32,256,512
65B,32,32,256,1024
65B,32,32,512,128
65B,32,32,512,512
65B,32,32,512,1024
65B,32,32,1024,1024
65B,64,64,256,128
65B,64,64,256,512
65B,64,64,256,1024
65B,64,64,512,128
65B,64,64,512,512
65B,64,64,512,1024
65B,64,64,1024,1024
